name,description,agency,link,error
SkillsFuture Mid-Career Enhanced Subsidy,You can receive up to 90% course fee subsidies for SSG-supported courses. Eligible for Singaporeans aged 40 and above.,SkillsFuture Singapore,https://www.wsg.gov.sg/home/campaigns/<https:/www.skillsfuture.gov.sg/initiatives/mid-career/enhancedsubsidy>,False
SkillsFuture Credit,"Offset your course fees with up to $1,500 SkillsFuture Credit. Inclusive of opening and one-off top-up credit of $500 each, and Additional SkillsFuture Credit (Mid-Career Support) of $500 given to Singapore Citizens aged 40 to 60 (both ages inclusive) as at 31 December 2020.",SkillsFuture Singapore,https://www.wsg.gov.sg/home/campaigns/<https:/www.skillsfuture.gov.sg/initiatives/early-career/credit>,False
Polaris,"Polaris is a personalised programme designed for employed individuals who are looking to elevate their career through Career Planning. This personalised programme comprises three coaching sessions with a certified career coach. The career coach will support you in shaping a robust Career Development Plan, tailored exclusively to fuel your professional growth, harmonising your strengths, values and aspirations.",Workforce Singapore,https://www.wsg.gov.sg/home/campaigns/<https:/content.mycareersfuture.gov.sg/polaris-registration/wsg/?utm_source=wsg&amp;utm_medium=career-health&amp;utm_campaign=rise>,False
CareersFinder by MyCareersFuture,"Chart your path to a successful career with CareersFinder, a new feature on MyCareersFuture that empowers you to discover personalised upskilling and career recommendations by analysing your unique profile.",Workforce Singapore,https://www.wsg.gov.sg/home/campaigns/<https:/careersfinder.mycareersfuture.gov.sg/quiz/create/most-recent-occupation?utm_source=WSG%20Career%20Health&amp;utm_campaign=&amp;utm_medium=CF%20&amp;%20Career%20Health%20Page%20>,False
CareersCompass by MyCareersFuture,"Discover everything you need to thrive in today's job market with CareersCompass by MyCareersFuture. A one-stop destination packed with essential knowledge and tools, including expert insights on job search, career development, talent acquisition strategies, and more.",Workforce Singapore,https://www.wsg.gov.sg/home/campaigns/<https:/content.mycareersfuture.gov.sg/?utm_source=wsg&amp;utm_medium=career-health&amp;utm_campaign=programme-careerscompass>,False
Career Conversion Programmes (CCPs),CCPs support mid-career individuals to reskill and develop new capabilities to take on new job roles in growth areas.,Workforce Singapore,https://www.wsg.gov.sg/home/campaigns/<http:/www.wsg.gov.sg/home/individuals/attachment-placement-programmes/career-conversion-programmes-for-individuals>,False
Career Grit,Strengthen your career health with Career GRIT's events and resources for better employment opportunities and long-term professional growth.,Workforce Singapore,https://www.wsg.gov.sg/home/campaigns/<https:/www.careergrit.sg/?utm_source=WSG&amp;utm_medium=website&amp;utm_campaign=Brand2025&amp;utm_content=careerhealthpage>,False
Speak to a volunteer Career Advisor,Tap on the expertise of volunteer Career Advisors for sector-specific career advice that can help you make more informed career decisions.,Workforce Singapore,https://www.wsg.gov.sg/home/campaigns/<https:/www.wsg.gov.sg/home/individuals/attachment-placement-programmes/volunteer-career-advisors-initiative>,False
HerCareer Initiative,Women who have taken a career break and are thinking of re-joining the workforce can look forward to some government programmes and services to guide you through the job search process.,Workforce Singapore,https://www.wsg.gov.sg/home/campaigns/<https:/www.wsg.gov.sg/home/campaigns/hercareer>,False
Jobs Transformation Maps,Refer to the Jobs Transformations Maps (JTMs) to discover how job roles will transform alongside key technologies to prepare for the future of work and identify career opportunities.,Workforce Singapore,https://www.wsg.gov.sg/home/campaigns/</home/employers-industry-partners/jobs-transformation-maps>,False
SkillsFuture Career Transition Programme,"Supports mid-career individuals in acquiring industry-relevant skills to improve employability and pivot to new sectors or job roles. It is a train-and-place programme that is available on a part-time or full-time format, ranging from three to 12 months with course fee funding support.",SkillsFuture Singapore,https://www.wsg.gov.sg/home/campaigns/<https:/www.skillsfuture.gov.sg/initiatives/mid-career/careertransition>,False
Productivity Solutions Grant,Adopt digital tools and solutions to raise your business’ productivity,,https://www.enterprisesg.gov.sg/</financial-support/productivity-solutions-grant>,False
Market Readiness Assistance Grant,"Get help to set up and promote your business overseas, and identify in-market business partners",,https://www.enterprisesg.gov.sg/</financial-support/market-readiness-assistance-grant>,False
SkillsFuture Enterprise Credit,The SFEC encourages employers to invest in enterprise transformation and the capabilities of their employees.,,https://www.enterprisesg.gov.sg/</financial-support/skillsfuture-enterprise-credit>,False
Enterprise Development Grant,"Upgrade your business, innovate, and venture overseas",,https://www.enterprisesg.gov.sg/</financial-support/enterprise-development-grant>,False
Enterprise Leadership for Transformation (ELT),Transform and grow your business through innovating and strategising with industry experts.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/growth-and-transformation/enterprise-leadership-for-transformation,False
Scale-Up,Growth partnership programme for high-growth local companies to scale and become future global champions.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/growth-and-transformation/scale-up,False
Executive-in-Residence Programme,Tap a network of experts for projects to transform your business in areas of expertise.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/growth-and-transformation/executive-in-residence-programme,False
Local Enterprise and Association Development (LEAD) Programme,Drive capability development and internationalisation projects for SMEs.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/financial-support/local-enterprise-and-association-development-programme,False
Singapore Global Enterprises Initiative,Growing promising Singapore enterprises into globally competitive industry leaders.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/growth-and-transformation/singapore-global-enterprises-initiative,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/enterprise-development-grant>,False
Productivity Solutions Grant (PSG),Improve productivity through IT solutions and equipment.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/productivity-solutions-grant>,False
Productivity Solutions Grant (PSG),"Access support for job redesign to improve processes, workers’ tasks and responsibilities.",,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</grow-your-business/boost-capabilities/talent-attraction-and-development/productivity-solutions-grant,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/enterprise-development-grant,False
SkillsFuture Enterprise Credit (SFEC),Invest in enterprise transformation and capabilities of your employees.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/skillsfuture-enterprise-credit,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/enterprise-development-grant>,False
Enterprise Financing Scheme – Green,Obtain green financing for sustainable solutions development. (For selected sectors and solutions only),Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/enterprise-financing-scheme---green>,False
Energy Efficiency Grant,Support for adopting pre-approved energy-efficient equipment.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/energy-efficiency-grant>,False
Sustainability Reporting Grant,Prepare your first sustainability report consistent with the International Sustainability Standards Board (ISSB) standards.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/sustainability-reporting-grant>,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/</financial-support/enterprise-development-grant>,False
Double Tax Deduction for Internationalisation,Enjoy tax deductions as you expand overseas and seek investment development opportunities.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</financial-support/double-tax-deduction-for-internationalisation>,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</financial-support/enterprise-development-grant>,False
Global Innovation Alliance,Enter overseas markets with confidence and connect with innovation communities.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</grow-your-business/innovate-with-us/market-access-and-networks/global-innovation-alliance>,False
LEAD Trade Fairs and Business Missions,Tap funding and support through TACs for costs incurred when you join overseas trade fairs and missions.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</grow-your-business/go-global/market-entry-support/lead-trade-fairs-and-business-missions>,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</financial-support/market-readiness-assistance-grant>,False
Navigate Non-Tariff Measures,Get support for compliance risks when you expand into a new overseas market.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</grow-your-business/go-global/market-entry-support/navigate-non-tariff-measures>,False
Productivity Solutions Grant,Adopt digital tools and solutions to raise your business’ productivity,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/</financial-support/productivity-solutions-grant>,False
Market Readiness Assistance Grant,"Get help to set up and promote your business overseas, and identify in-market business partners",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/</financial-support/market-readiness-assistance-grant>,False
SkillsFuture Enterprise Credit,The SFEC encourages employers to invest in enterprise transformation and the capabilities of their employees.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/</financial-support/skillsfuture-enterprise-credit>,False
Enterprise Development Grant,"Upgrade your business, innovate, and venture overseas",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/</financial-support/enterprise-development-grant>,False
Productivity Solutions Grant (PSG),Improve productivity through IT solutions and equipment.,,https://www.enterprisesg.gov.sg/</financial-support/productivity-solutions-grant>,False
Energy Efficiency Grant,Support for adopting pre-approved energy-efficient equipment.,,https://www.enterprisesg.gov.sg/</financial-support/energy-efficiency-grant>,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",,https://www.enterprisesg.gov.sg/</financial-support/market-readiness-assistance-grant>,False
SkillsFuture Enterprise Credit (SFEC),Invest in enterprise transformation and capabilities of your employees.,,https://www.enterprisesg.gov.sg/</financial-support/skillsfuture-enterprise-credit>,False
Double Tax Deduction for Internationalisation,Enjoy tax deductions as you expand overseas and seek investment development opportunities.,,https://www.enterprisesg.gov.sg/</financial-support/double-tax-deduction-for-internationalisation>,False
Enterprise Financing Scheme,Access financing support at each stage of your business growth.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme>,False
Enterprise Financing Scheme – Foreign-based Financial Institutions / Multilateral Development Banks,Access overseas financing support to expand your international business footprint.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme-foreign-based-financial-institutions-multilateral-development-banks>,False
Enterprise Financing Scheme – Green,Obtain green financing for sustainable solutions development. (For selected sectors and solutions only),,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---green>,False
Enterprise Financing Scheme – Mergers & Acquisitions,Finance your acquisition of overseas or local enterprises as you expand your business footprint.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---mergers-and-acquisitions>,False
Enterprise Financing Scheme – Project Loan,"Finance your local and overseas projects, and access financing for capital, equipment and guarantees.",,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---project-loan>,False
Enterprise Financing Scheme – SME Fixed Assets,Finance investments in domestic and overseas fixed assets.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---sme-fixed-assets>,False
Enterprise Financing Scheme – SME Working Capital Loan,Built for enterprises to access the right capital for financing operational cashflow needs.,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---sme-working-capital>,False
Enterprise Development Grant (EDG),,,https://www.enterprisesg.gov.sg/</resources/all-faqs/enterprise-development-grant>,False
Productivity Solutions Grant (PSG),,,https://www.enterprisesg.gov.sg/</resources/all-faqs/productivity-solutions-grant>,False
Enterprise Financing Scheme (EFS),,,https://www.enterprisesg.gov.sg/</resources/all-faqs/enterprise-financing-scheme>,False
Enterprise Financing Scheme – Green (EFS-Green),,,https://www.enterprisesg.gov.sg/</resources/all-faqs/enterprise-financing-scheme--green>,False
Free Trade Agreements (FTAs),,,https://www.enterprisesg.gov.sg/</resources/all-faqs/free-trade-agreements>,False
Trade & Statistics,,,https://www.enterprisesg.gov.sg/</resources/all-faqs/trade-and-statistics>,False
Energy Efficiency Grant (Base),"A company that meets all the following criteria can apply for the EEG (Base): Business entity registered and operating in Singapore in the Manufacturing, Food Services or Retail sector as defined below; Manufacturing companies that are classified under SSIC 10 to 32 (including Food Manufacturing); Food Services companies with valid Singapore Food Agency (SFA) licences and classified under SSICs 56 or 68104; Retail companies that are classified under SSIC 47; Has a minimum of 30% local shareholding; Employ at least one local employee at the firm-level; Has a Group Annual Sales Turnover no more than S$500 million.",Enterprise Singapore,https://www.enterprisesg.gov.sg/about-us/<https:/www.gobusiness.gov.sg/business-grants-portal/>,False
SkillsFuture Enterprise Credit (SFEC),"For programmes under Enterprise Transformation (e.g. EDG, MRA, PSG etc), you may log in to Business Grants Portal (BGP) to obtain the claim breakdown details. For programmes under Workforce Transformation (e.g. SFEC-eligible training courses), you may log in to SkillsFuture for Business page to obtain the claim breakdown details.",Enterprise Singapore,https://www.enterprisesg.gov.sg/about-us/<https:/www.enterprisesg.gov.sg/resources/all-faqs>,False
Productivity Solutions Grant (PSG),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/productivity-solutions-grant>,False
Enterprise Development Grant (EDG),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/enterprise-development-grant>,False
Market Readiness Assistance (MRA),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/market-readiness-assistance-grant>,False
SkillsFuture Enterprise Credit (SFEC),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/skillsfuture-enterprise-credit>,False
Energy Efficiency Grant (EEG),,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/energy-efficiency-grant>,False
Enterprise Sustainability Programme,,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/enterprise-sustainability-programme>,False
Enterprise Sustainability Programme – Catalysing Sustainability in Singapore's SMEs,,,https://www.enterprisesg.gov.sg/resources/</resources/all-faqs/esp-catalysing-sustainability>,False
SME Sustainability Reporting Programme,,,https://www.enterprisesg.gov.sg/resources/</grow-your-business/boost-capabilities/sustainability/sme-sustainability-reporting-programme>,False
Sustainability Reporting Grant,,,https://www.enterprisesg.gov.sg/resources/</-/media/esg/files/e-services/sustainability-reporting-grant/external-faqs-on-the-sustainability-reporting-grant-srg-v4.pdf>,False
Enterprise Financing Scheme,Phishing regarding Enterprise Financing Scheme. A phishing site 'noblesingaporeholdltd.com' appears to offer enterprise loans under the scheme and claims to share the loan default risk with Participating Financial Institutions.,Enterprise Singapore,,False
Singapore Accreditation Council Awards,Impersonation of EnterpriseSG regarding Singapore Accreditation Council Awards. Phishing emails impersonating EnterpriseSG personnel with fraudulent attachments.,Enterprise Singapore,,False
Enterprise Development Grant,Impersonation of EnterpriseSG regarding approval of EDG. Emails from 'services@enterprisesingapore.com' requesting to preview a document related to the grant.,Enterprise Singapore,,False
Productivity Solutions Grant,Misrepresentation of agency. Emails from 'hello@savetech.com.sg' claiming to represent EnterpriseSG to raise awareness of government grants.,Enterprise Singapore,,False
Double Tax Deduction for Internationalisation,,,https://www.enterprisesg.gov.sg/</financial-support/double-tax-deduction-for-internationalisation>,False
Enterprise Development Grant (EDG),,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-development-grant>,False
Energy Efficiency Grant,,,https://www.enterprisesg.gov.sg/</financial-support/energy-efficiency-grant>,False
Enterprise Financing Scheme,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme>,False
Enterprise Financing Scheme – Foreign-based Financial Institutions / Multilateral Development Bank,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme-foreign-based-financial-institutions-multilateral-development-banks>,False
Enterprise Financing Scheme-Green,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---green>,False
Enterprise Financing Scheme – Mergers & Acquisitions,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---mergers-and-acquisitions>,False
Enterprise Financing Scheme–Project Loan,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---project-loan>,False
Enterprise Financing Scheme - SME Fixed Assets,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---sme-fixed-assets>,False
Enterprise Financing Scheme – SME Working Capital,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---sme-working-capital>,False
Enterprise Financing Scheme – Trade Loan,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---trade-loan>,False
Enterprise Financing Scheme – Venture Debt,,,https://www.enterprisesg.gov.sg/</financial-support/enterprise-financing-scheme---venture-debt>,False
Global Trader Programme,,,https://www.enterprisesg.gov.sg/</financial-support/global-trader-programme>,False
Local Enterprise and Association Development (LEAD) Programme,,,https://www.enterprisesg.gov.sg/</financial-support/local-enterprise-and-association-development-programme>,False
Market Readiness Assistance (MRA) Grant,,,https://www.enterprisesg.gov.sg/</financial-support/market-readiness-assistance-grant>,False
Productivity Solutions Grant,,,https://www.enterprisesg.gov.sg/</financial-support/productivity-solutions-grant>,False
Refundable Investment Credit,,,https://www.enterprisesg.gov.sg/</financial-support/refundable-investment-credit>,False
SEEDS Capital,,,https://www.enterprisesg.gov.sg/</financial-support/seeds-capital>,False
SkillsFuture Enterprise Credit (SFEC),,,https://www.enterprisesg.gov.sg/</financial-support/skillsfuture-enterprise-credit>,False
Sustainability Reporting Grant,,,https://www.enterprisesg.gov.sg/</financial-support/sustainability-reporting-grant>,False
Technology for Enterprise Capability Upgrading (T-Up),For local companies looking to upgrade their research and development (R&D) capabilities.,,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/innovation-capabilities/centres-of-innovation/</grow-your-business/innovate-with-us/innovation-talent/technology-for-enterprise-capability-upgrading,False
Global Tech Talent Alliance,Leverage talent service providers as you build your tech team for effective market entry.,,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/innovation-capabilities/centres-of-innovation/</grow-your-business/innovate-with-us/innovation-talent/global-tech-talent-alliance,False
Tech@SG,Get government endorsement for up to ten new Employment Passes to build your team in Singapore.,,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/innovation-capabilities/centres-of-innovation/</grow-your-business/innovate-with-us/innovation-talent/tech-at-sg,False
Innovation Advisors Programme,"Tap on experienced professionals to build partnerships, scale, and achieve accelerated growth.",,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/innovation-capabilities/centres-of-innovation/</grow-your-business/innovate-with-us/innovation-talent/innovation-advisors-programme,False
EntrePass,Establish your startup in Singapore and gain access to the vibrant local tech startup community.,,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/innovation-capabilities/centres-of-innovation/</grow-your-business/innovate-with-us/innovation-talent/entrepass,False
Eureka Resilience Call 2024,"The Eureka Resilience Call is jointly administered by EnterpriseSG and 14 other funding agencies. This programme aims to encourage the development of ready-to-market solutions for products, technology-based services or methods that have strong commercial potential in the field(s) of disaster resilience, response and recovery.",EnterpriseSG,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/market-access-and-networks/open-innovation-network/<https:/go.gov.sg/resiliencecall2024>,False
Enterprise Development Grant (Co-Innovation Programme),"The Enterprise Development Grant (Co-Innovation Programme), or EDG (CIP), supports Singapore-based companies and their overseas partners to collaborate on R&D projects. Eligible companies can receive up to 50% support for qualifying cost items, with a focus on developing new products or solutions with strong market potential.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/market-access-and-networks/open-innovation-network/</grow-your-business/innovate-with-us/market-access-and-networks/global-innovation-alliance/cip-programmes,False
Enterprise Development Grant (Co-Innovation Programme),"The Enterprise Development Grant (Co-Innovation Programme), or EDG (CIP), supports Singapore-based companies and their overseas partners to collaborate on R&D projects. Eligible companies can receive up to 50% support for qualifying cost items, focusing on innovation activities such as joint R&D projects that result in new products or solutions with strong market potential.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/market-access-and-networks/global-innovation-alliance/</grow-your-business/innovate-with-us/market-access-and-networks/global-innovation-alliance/cip-programmes,False
Startup SG Equity,Co-invest into Singapore-based technology startups with intellectual property and global market potential.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/</financial-support/startup-sg-equity>,False
Venture Capital Fund Incentive (VCFI),Get tax exemption on qualifying income streams for a period of up to 15 years.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/</financial-support/venture-capital-fund-incentive>,False
Fund Management Incentive (FMI),Receive a concessionary tax rate of 5% for a period of up to 5 years as a fund management company.,,https://www.enterprisesg.gov.sg/grow-your-business/partner-with-singapore/innovation-and-startups/</financial-support/fund-management-incentive>,False
Startup SG Talent,Support for talent sourcing and international founders. Bring the right talent onboard to grow and scale your business. Gain access to Singapore’s vibrant startup ecosystem via an entrepreneurial work visa.,Enterprise Singapore,https://www.startupsg.gov.sg/programmes/4898/startup-sg-talent,False
Startup SG Founder,"Mentorship and funding support for first-time entrepreneurs. Access to mentorship and funding from Accredited Mentor Partners (AMPs). Applicants will be evaluated based on their business concept, feasibility of business model, strength of management team, and potential market value.",Enterprise Singapore,https://www.startupsg.gov.sg/programmes/4894/startup-sg-founder,False
Startup SG Tech,Support for deep tech commercialisation. Provides early-stage funding to fast-track the development of proprietary technology. Supports Proof-of-Concept (POC) and Proof-of-Value (POV) for commercialisation of innovative and proprietary technologies.,Enterprise Singapore,https://www.startupsg.gov.sg/programmes/4897/startup-sg-tech,False
Startup SG Accelerator,"Support for incubators and accelerators to catalyse the growth of startups. Provides funding and non-financial support to local and global startup enablers in Singapore. Applicants will be evaluated based on their unique value proposition and track record in nurturing innovative startups in areas such as access to markets, talents and financing.",Enterprise Singapore,https://www.startupsg.gov.sg/programmes/4900/startup-sg-accelerator,False
