name,description,agency,link,error
Productivity Solutions Grant (PSG),The PSG supports businesses in the adoption of productivity solutions. Businesses can choose from a list of pre-scoped solutions and receive up to 50% funding support for eligible costs.,Enterprise Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/</productivity-solutions-grant/>,False
Public Sector Construction Productivity Fund,The Public Sector Construction Productivity Fund (PSCPF) was introduced to support public agencies by funding the construction cost premium incurred for adopting Design for Manufacturing and Assembly (DfMA) technologies by public sector projects.,BCA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/buildsg-transformation-fund/public-sector-construction-productivity-fund-pscpf>,False
Start Digital,"SMEs new to using digital technology can adopt any 2 solutions e.g. Digital Marketing, Digital Collaboration, Accounting, HR/Payroll, Cybersecurity, etc., at no cost for at least 6 months (min. 18 months contract).",IMDA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/StartDigital>,False
SG Cyber Talent Development Fund,"To support communities, associations and industry partners to develop new ground up initiatives; sustain meaningful initiatives and scale impactful initiatives that aim to engage, build and advance the cybersecurity workforce and ecosystem.",CSA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.csa.gov.sg/docs/default-source/our-programmes/talent-and-skills-development/sg-cyber-talent/sg-cyber-talent-development-fund-details.pdf?sfvrsn=d3e4bf74_0>,False
Technology for Enterprise Capability Upgrading (T-Up),Get access to talents from A*STAR’s Research Institutes and build in-house R&D capabilities.,A*STAR,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.a-star.edu.sg/Collaborate/programmes-for-smes/Technology-for-Enterprise-Capability-Upgrading>,False
Grow Digital,SMEs that are ready to sell overseas can receive funding support when they participate in pre-approved Business-to-Business (B2B) and Business-to-Consumer (B2C) e-commerce platforms with global or regional reach.,IMDA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/programme-listing/smes-go-digital/Grow-Digital>,False
Local Enterprise and Association Development (LEAD) Programme,TACs keen to drive capability development and internationalisation projects can tap on LEAD programme. LEAD supports up to 70% of eligible costs for qualifying projects.,Enterprise Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.enterprisesg.gov.sg/financial-support/local-enterprise-and-association-development-programme>,False
Market Readiness Assistance (MRA) Grant,SMEs looking to take their business overseas can receive up to 70% support for eligible costs with the MRA grant from 1 April 2020 - 31 March 2023.,Enterprise Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.enterprisesg.gov.sg/financial-support/market-readiness-assistance-grant>,False
Building & Construction Transformation Gross Floor Area Incentive Scheme,"Aims to encourage greater adoption of enhanced Construction Industry Transformation Map (ITM) standards in areas of digitalisation, productivity and sustainability (“ITM Outcome Requirements”) in private sector developments.",BCA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/sustainability/green-mark-incentive-schemes/built-environment-transformation-gross-floor-area-incentive-scheme>,False
Cities of Tomorrow (CoT) R &D programme,Research programme that works with industry and research partners to co-develop innovative solutions and technologies to provide green and sustainability solutions.,MND,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mnd.gov.sg/cities-of-tomorrow>,False
Electric Vehicle Common Charger Grant (ECCG),The scheme is introduced to kickstart the installation of shared charging infrastructure in non-landed private residences (NLPRs).,LTA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.lta.gov.sg/content/ltagov/en/industry_innovations/technologies/electric_vehicles/ev_common_charger_grant.html>,False
Green Mark Incentive Scheme for Existing Buildings 2.0 (GMIS-EB 2.0),"Provide grant support to building owners on their goals to attain higher energy performance by lowering the upfront capital costs for energy efficiency retrofits and improve the returns on investment, particularly for buildings meeting Super Low Energy or Zero Energy standards.",BCA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www1.bca.gov.sg/buildsg/sustainability/green-mark-incentive-schemes/green-mark-incentive-scheme-for-existing-buildings-2.0>,False
Skyrise Greenery Incentive Scheme,Skyrise Greenery Incentive Scheme (SGIS) was introduced to increase the greenery provision in Singapore by encouraging the installation of new skyrise greenery on existing buildings.,NParks,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skyrisegreenery.nparks.gov.sg/incentive-scheme/about/>,False
Sustainable Bond Grant Scheme,"Offsets up to S$125,000 of expenses incurred for external reviews of eligible green, social, sustainability, sustainability-linked as well as transition bonds and promotes the adoption of internationally-recognised standards and taxonomies.",MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/sustainable-bond-grant-scheme>,False
SkillsFuture For Business,Find all SkillsFuture-supported programmes and grants in one place.,SkillsFuture Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skillsfuture.gobusiness.gov.sg>,False
e-Adviser for Skills Training,For business owners to get personalised recommendations on skills training courses and SkillsFuture initiatives relevant to your business as part of the SkillsFuture Movement.,SkillsFuture Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/eadviser.gobusiness.gov.sg/skillstraining?src=govassist_grants>,False
Absentee Payroll (AP) Funding,"Defray some manpower costs incurred when you send your employees for training courses funded by SkillsFuture (SSG). Capped at $100,000 per organisation annually.",SkillsFuture Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skillsfuture.gobusiness.gov.sg/support-and-programmes/funding/absentee-payroll-funding>,False
Career Trial,"Allows companies to assess jobseekers’ job fit through a short-term trial, before formal employment. Government will provide training allowance to the jobseekers for the trial period (up to 3 months).",WSG,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.wsg.gov.sg/programmes-and-initiatives/career-trial-employers.html>,False
Company-Led Training (CLT) Programme,"CLT accelerates professional development through on-the-job training programme for fresh to mid-level professionals acquiring competencies for jobs in demand by industry, especially the Digital Economy sector.",IMDA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/programme-listing/TechSkills-Accelerator-TeSA/Company-Led-Training-Programme-CLT>,False
Employment Support for Ex-Offenders,This programme equips ex-offenders with industry skills to prepare them for re-integration into the workforce.,WSG,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.wsg.gov.sg/programmes-and-initiatives/employment-support-for-employers-to-hire-ex-offenders.html>,False
Employment Support for Persons with Disabilities,"Hire, train and integrate Persons with Disabilities into the workforce. Receive course fee subsidies of up to 90% for SG Enable’s list of curated training courses.",WSG,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.wsg.gov.sg/programmes-and-initiatives/employment-support-for-persons-with-disabilities.html>,False
Enabling Employment Credit,The Enabling Employment Credit provides wage offsets to employers hiring persons with disabilities.,GovTech,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/go.gov.sg/sec-cto-eec>,False
Enhanced Training Support for SMEs (ETSS),Small and Medium Enterprises (SMEs) receive up to 90% course fee subsidy for employer-sponsored training under selected SSG-supported courses. SME status is derived automatically from government data. No application is required.,SkillsFuture Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skillsfuture.gobusiness.gov.sg/support-and-programmes/funding/training-subsidies-for-employers>,False
Part-Time Re-employment Grant (PTRG),Provides funding support to companies that voluntarily commit to providing part-time re-employment to all eligible seniors who request for it.,WSG,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.wsg.gov.sg/programmes-and-initiatives/senior-worker-early-adopter-grant-and-part-time-re-employment-grant-employers.html>,False
Progressive Wage Credit Scheme,"Provides transitional support to employers for Progressive Wages moves, by co-funding wage increases of lower-wage workers between 2022 and 2026.",GovTech,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/go.gov.sg/askpwcs>,False
Senior Employment Credit,No application is required. The Senior Employment Credit provides wage offsets to help employers that employ workers aged 55 and above adjust to the higher Retirement Age and Re-employment Age.,GovTech,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/go.gov.sg/sec-cto-eec>,False
SkillsFuture Work-Study Programmes (WSPs),"Businesses can groom and hire fresh talent through Work-Study Programmes across Certificate, Diploma, Post-Diploma, and Degree levels. Businesses will jointly design and deliver with Institutes of Higher Learning (IHLs) and appointed private providers.",SkillsFuture Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/skillsfuture.gobusiness.gov.sg/support-and-programmes/skillsfuture-work-study-programmes>,False
Uplifting Employment Credit,The Uplifting Employment Credit provides wage offsets to employers hiring ex-offenders.,GovTech,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.go.gov.sg/uec>,False
3R Fund,The 3R Fund supports companies and organisations registered in Singapore to implement waste minimisation and recycling projects to reduce solid waste sent for disposal.,NEA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.nea.gov.sg/programmes-grants/grants-and-awards/3r-fund>,False
Future Energy Fund,The Future Energy Fund supports infrastructure investments for energy transition to net-zero future.,EMA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ema.gov.sg/news-events/news/media-releases/2024/establishment-of-future-energy-fund-to-support-singapore-infrastructure-investments>,False
Sustainability Reporting Grant,"The Sustainability Reporting Grant will provide funding support for large companies with annual revenue $100 million and above, to cover a portion of their costs in producing their first sustainability report in Singapore.",EDB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.edb.gov.sg/en/about-edb/media-releases-publications/supporting-businesses-in-the-transition-to-a-low-carbon-and-sustainable-future.html>,False
Water Efficiency Fund (WEF),"WEF provides funding to local non-domestic water users to enable them to improve water efficiency through water efficiency assessment, pilot study, recycling, adoption of water efficient equipment & industrial water solution demonstration projects.",PUB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.pub.gov.sg/savewater/atwork/efficiencymeasures>,False
Enterprise Development Grant (EDG),"The EDG helps Singapore companies grow and transform. This grant supports projects that help you upgrade your business, innovate or venture overseas. Receive up to 70% support for eligible costs.",Enterprise Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.enterprisesg.gov.sg/financial-support/enterprise-development-grant>,False
Agri-Food Cluster Transformation (ACT) Fund,"The Agri-Food Cluster Transformation (ACT) Fund supports local food-producing companies in their efforts to expand production capabilities, boost yield, raise productivity, sustainability and improve circularity.",SFA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.sfa.gov.sg/explore-by-sections/farms/funding-schemes/act-fund >,False
Power Systems Competitive Research and Test-bedding (CRT) Funding Initiatives,EMA rolls out competitive grant calls to catalyse applied research and development (R&D) of innovative technologies and solutions. This aims to address industry-relevant challenges and opportunities in the energy sector that lead to long-term solutions for Singapore’s energy challenges.,EMA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ema.gov.sg/Industry_Energy_Research_and_Development.aspx>,False
Asian Financial Leaders Scheme (AFLS),The AFLS initiative helps FIs defray part of the costs incurred in sending promising C-1/C-2 Singaporean finance professionals on eligible leadership programmes.,MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/asian-financial-leaders-scheme>,False
"Environmental, Social, Governance (ESG) FinTech Grant","Empower financial institutions in addressing their key ESG data and infrastructure challenges, supporting their mobilising of capital towards sustainable activities and tracking of their net zero transition plans and programmes.",MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/fsti-esg-fintech-grant>,False
Financial Sector Technology and Innovation Scheme (FSTI 3.0) Centre of Excellence Grant,"Supports financial institutions, Corporate Venture Capital entities (CVCs) and global Technology companies to set up centres of excellence in Singapore to test-bed innovative ideas and roll out market solutions.",MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/fsti-scheme>,False
Financial Sector Technology and Innovation (FSTI) Scheme - Artificial Intelligence and Data Analytics (AIDA) Grant,The AIDA grant supports projects that demonstrate adoption of AI & DA techniques that achieve business objectives of strategy & decision making with consideration of workforce impact.,MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/Artificial-Intelligence-and-Data-Analytics-AIDA-Grant>,False
Financial Sector Technology and Innovation (FSTI) Scheme - Industry-wide Technological Infrastructure or Utility,The FSTI Industry-wide Projects scheme seeks to build industry-wide technological/utility infrastructure and/or improve efficiency and boost productivity in the financial services sector.,MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/fsti-scheme>,False
Financial Training Scheme (FTS),The FTS provides funding for financial sector-specific training programmes which are recognized under FTS.,IBF,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ibf.org.sg/home/for-individuals/skills-and-jobs-development/training-support/IBF-FTS>,False
FSTI Innovation Acceleration - Early Innovation,"Provides funding support for experimentation, development and dissemination of nascent innovative technologies in the financial services sector.",MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/development/fintech/mas-fsti-innovation-acceleration-track---early-innovation>,False
Grant for Equity Market Singapore (GEMS) - Research Talent Development,The GEMS Research Talent Development track supports financial institutions in developing equity research capabilities.,MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/grant-for-equity-market-singapore-scheme>,False
Institute of Banking and Finance Standards Training Scheme (IBF-STS),The IBF-STS provides funding for programmes accredited under the IBF standards.,IBF,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ibf.org.sg/home/for-individuals/skills-and-jobs-development/training-support/IBF-STS>,False
Regulatory Technology Grant,Support financial institutions based in Singapore to enhance the efficiency of their risk management and compliance functions through the use of technological solutions.,MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/development/fintech/regtech-grant>,False
International Postings Programme (iPOST),The iPOST initiative helps FIs defray part of the costs incurred in sending Singapore citizen staff on global and regional attachments or postings.,MAS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mas.gov.sg/schemes-and-initiatives/international-postings-programme-ipost>,False
Energy Efficiency Grant (EEG),"The Energy Efficiency Grant (EEG) aims to help businesses within the Food Services, Manufacturing or Retail sectors to cope with rising energy costs, through co-funding investments in more energy-efficient equipment.",Enterprise Singapore,https://www.gobusiness.gov.sg/gov-assist/grants/</energy-efficiency-grant/>,False
Hawkers Go Digital,"Bonus of $300 per month over 5 months to be given to stallholders in hawker centres, wet markets, coffee shops and industrial canteen to encourage adoption of e-payments.",IMDA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/hawkersgodigital>,False
Healthier Dining Grant,The Healthier Dining Grant is a funding scheme which empowers Healthier Dining Programme Partners to publicise their healthier menu options either online or offline.,HPB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.hpb.gov.sg/healthy-living/food-beverage/healthier-dining-grant-schemes/about-the-healthier-dining-grant>,False
Healthier Dining Innovation Grant (HDI),"HDI is a funding scheme of up to $5,000 for F&B operators to take their first step towards capability upgrading in 4 areas: R&D, Purchase of Healthier Ingredients, Culinary Training, and Recipe Reformulation.",HPB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.hpb.gov.sg/healthy-living/food-beverage/healthier-dining-grant-schemes/about-the-healthier-dining-innovation>,False
Healthier Ingredient Development Scheme (HIDS),"HIDS is a Healthy Choice Symbol Development Grant that incentivises food ingredient manufacturers/suppliers to develop greater varieties of healthier ingredients for adoption among F&B businesses and consumers. The scheme funds up to 80% qualifying project costs, cap at $200,000.",HPB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.hpb.gov.sg/healthy-living/food-beverage/healthier-ingredient-schemes/about-the-healthier-ingredient-development-scheme>,False
Healthier Ingredient Promotion Scheme (HIPS),"HIPS is a Go-To-Market grant that incentivises food ingredient manufacturers/suppliers to promote the adoption of healthier ingredients, among F&B businesses and consumers. The scheme funds up to 80% qualifying project costs, cap at $300,000.",HPB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.hpb.gov.sg/healthy-living/food-beverage/healthier-ingredient-schemes/about-the-healthier-ingredient-promotion-scheme>,False
Marine and Offshore Engineering Industry Digital Plan,A step-by-step guide for local SMEs in the Marine and Offshore Engineering industry on the digital solutions to adopt and relevant training for your employees at each stage of your growth.,IMDA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.imda.gov.sg/programme-listing/smes-go-digital/industry-digital-plans/Marine-and-Offshore-Engineering-IDP>,False
Resource Efficiency Grant for Energy (REG(E)),REG(E) encourages companies with manufacturing or data centre activities to implement projects that improve energy efficiency or reduce non-CO2 greenhouse gas (GHG) emissions.,EDB,"https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.edb.gov.sg/en/how-we-help/incentives-and-schemes.html#:~:text=The%20Resource%20Efficiency%20Grant%20for,energy%20efficient%20and%20improve%20competitiveness.&text=Grant%20support%20for%20REG\(E,of%2050%25%20of%20qualifying%20costs>",False
Maritime Cluster Fund (MCF) - Business Development,"MCF-Business Development is available to support eligible expenses incurred by maritime companies and organisations in the setting up of new maritime-related businesses or expansion; into new lines of maritime functions in Singapore, and internationalisation efforts by the maritime companies.",MPA,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.mpa.gov.sg/regulations-advisory/maritime-singapore/what-maritime-singapore-offers/programmes-to-support-your-maritime-business/maritime-cluster-fund-\(mcf\)>,False
Tech Subsidy - Social Service Agencies,This scheme is to empower social service agencies with Technology. This scheme is only applicable to NCSS Members and MSF-funded agencies.,NCSS,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.ncss.gov.sg/our-initiatives/tech-and-go/funding-support/social-service-agencies---tech-subsidy>,False
Business Events in Singapore (BEiS),The BEiS scheme seeks to encourage the business events industry to anchor and grow quality events as well as catalyse the innovation of new content.,STB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/business-events-in-singapore-beis.html>,False
Business Improvement Fund (BIF),"The BIF aims to encourage technology innovation and adoption, redesign of business model and processes in the tourism sector to improve productivity and competitiveness.",STB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/business-improvement-fund-bif.html>,False
Cruise Development Fund (CDF),The CDF supports cruise industry players in activities that will build strong consumer demand for cruises from Singapore.,STB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/cruise-development-fund-cdf.html>,False
Experience Step-Up Fund (ESF),The ESF supports development and enhancement of Singapore’s tourism experiences that increase the attractiveness of Singapore to visitors.,STB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/experience-step-up-fund-esf.html>,False
Kickstart Fund (KF),The KF supports the creation and test-bedding of innovative consumer-focused concepts and events with strong tourism potential and scalability.,STB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/kickstart-fund-kf.html>,False
Leisure Events Fund (LEF),"The LEF supports the launch and development of world-class, differentiated, and celebrated leisure event experiences in Singapore.",STB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/leisure-events-fund-lef.html>,False
Tourism Product Development Fund (TPDF),"The TPDF supports the creation, development of new tourism products and/or major rejuvenation of existing tourism products to increase Singapore destination attractiveness to visitors.",STB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/tourism-product-development-fund-tpdf.html>,False
Training Industry Professionals in Tourism (TIP-iT),"The TIP-iT supports tourism companies in employee upgrading and leadership development, including training in sustainability-related areas.",STB,https://www.gobusiness.gov.sg/gov-assist/grants/<https:/www.stb.gov.sg/content/stb/en/assistance-and-licensing/grants-overview/training-industry-professionals-in-tourism-tip-it.html>,False
